Title,Price,Rating,Reviews Count,Availability,Description,Images,Seller
Panasonic 27L Convection Microwave Oven(NN-CD674MFDGSilver Rotisserie),15500.00,,177 ratings,Only 1 left in stock.,NA,"https://m.media-amazon.com/images/I/41+FiC2yeXL._SX342_SY445_.jpg, https://images-eu.ssl-images-amazon.com/images/I/61zWYrEYtsL._AC_UL116_SR116,116_.jpg, https://images-eu.ssl-images-amazon.com/images/I/61CSx1vWJEL._AC_UL116_SR116,116_.jpg, https://images-eu.ssl-images-amazon.com/images/I/61Md+j4GC3L._AC_UL116_SR116,116_.jpg",Shopee_01
Apple iPad Pro 11″ (4th generation): with M2 chip Liquid Retina display 256GB Wi-Fi 6E 12MP front/12MP and 10MP back cameras Face ID all-day battery life – Space Grey,₹82899.00,NA,490 ratings,In stock,NA,https://m.media-amazon.com/images/I/414zn58PVUL._SY445_SX342_QL70_FMwebp_.jpg,Appario Retail Private Ltd
Apple iPad Pro 11″ (4th generation): with M2 chip Liquid Retina display 256GB Wi-Fi 6E 12MP front/12MP and 10MP back cameras Face ID all-day battery life – Space Grey,₹82899.00,NA,490 ratings,In stock,NA,https://m.media-amazon.com/images/I/414zn58PVUL._SY445_SX342_QL70_ML2_.jpg,Appario Retail Private Ltd
i-pad Air 2 9.7 inch64 GB Wi-FiSpace Gray (Renewed),AED359.99,NA,1 rating,In Stock,"This pre-owned product has been professionally inspected tested and cleaned . This product is in ""Excellent condition"". The screen and body show no signs of cosmetic damage visible . This product will have a battery that exceeds 80% capacity relative to new.","https://m.media-amazon.com/images/I/51fzydqhbvL.__AC_SX300_SY300_QL70_ML2_.jpg, https://images-eu.ssl-images-amazon.com/images/I/516mf7XOiIL._AC_UL165_SR165,165_.jpg, https://images-eu.ssl-images-amazon.com/images/I/618cGe946nL._AC_UL165_SR165,165_.jpg, https://images-eu.ssl-images-amazon.com/images/I/51xkzOX2sOL._AC_UL165_SR165,165_.jpg, https://images-eu.ssl-images-amazon.com/images/I/61CteWkcEFL._AC_UL165_SR165,165_.jpg",Smart UAE Deals ⭐⭐⭐⭐⭐
Apple iPad Pro 11″ (4th generation): with M2 chip Liquid Retina display 256GB Wi-Fi 6E 12MP front/12MP and 10MP back cameras Face ID all-day battery life – Space Grey,₹82899.00,NA,490 ratings,In stock,NA,https://m.media-amazon.com/images/I/414zn58PVUL._SY445_SX342_QL70_FMwebp_.jpg,Appario Retail Private Ltd
Apple iPad Air 13-inch (M2): Liquid Retina display 128GB Landscape 12MP Front Camera/12MP Back Camera Wi-Fi 6E Touch ID All-Day Battery Life - Space Grey,AED 3289.98,NA,6 ratings,In Stock,NA,https://m.media-amazon.com/images/I/71byRuhT1zL.__AC_SY445_SX342_QL70_ML2_.jpg,iSTYLE Apple Premium Partner
Daikin 1.5 Ton 3 Star Inverter Split AC (Copper PM 2.5 Filter Triple Display Dew Clean Technology Coanda Airflow 2023 Model MTKL50U White),₹36990.00,NA,3018 ratings,In stock,NA,"https://m.media-amazon.com/images/I/31aoA6SbiJL._SY445_SX342_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/G/31/img19/AmazonBrands/Solimo/logo/solimoLogo_100x100._SS75_CB463683636_.jpg",DAWNTECH ELECTRONICS PRIVATE LIMITED
Daikin 1.5 Ton 3 Star Inverter Split AC (Copper PM 2.5 Filter Triple Display Dew Clean Technology Coanda Airflow 2023 Model MTKL50U White),₹36990.00,NA,3018 ratings,In stock,NA,,DAWNTECH ELECTRONICS PRIVATE LIMITED
Apple iPad Air 13-inch (M2): Liquid Retina display 128GB Landscape 12MP Front Camera/12MP Back Camera Wi-Fi 6E Touch ID All-Day Battery Life - Blue,AED 3298.55,NA,6 ratings,In Stock,NA,,iSTYLE Apple Premium Partner
Apple iPad Air 13-inch (M2): Liquid Retina display 128GB Landscape 12MP Front Camera/12MP Back Camera Wi-Fi 6E Touch ID All-Day Battery Life - Blue,AED 3298.55,NA,6 ratings,In Stock,NA,https://m.media-amazon.com/images/I/71BaVnZdAdL.__AC_SY445_SX342_QL70_ML2_.jpg,NA
